financial_year,state_code,state,month,month_date,intrastate_suppliers,intrastate_ewb_count,intrastate_assessable_value,interstate_out_suppliers,interstate_out_ewb_count,interstate_out_assessable_value,interstate_in_suppliers,interstate_in_ewb_count,interstate_in_assessable_value
2018-19,36,Telangana,2018-07,2018-07-01,21541.0,899444.0,19907.605523412,21959.0,411704.0,19662.400456066,46698.0,646254.0,25838.477739023
2018-19,37,Andhra Pradesh,2018-07,2018-07-01,25756.0,981997.0,18334.866504546,16282.0,362407.0,23846.016793463,53563.0,587192.0,24182.188182986
2018-19,01,Jammu and Kashmir,2018-08,2018-08-01,3292.0,126112.0,2245.7754784900003,1996.0,30376.0,2535.885481534,17023.0,180173.0,5157.64287955
2018-19,02,Himachal Pradesh,2018-08,2018-08-01,5834.0,215642.0,3950.790683068,4554.0,267605.0,10916.086907199,20946.0,302942.0,8646.460325044
2018-19,03,Punjab,2018-08,2018-08-01,52065.0,1510828.0,31806.065559528004,45166.0,868921.0,24070.061138304998,59184.0,766185.0,25672.104593533
2018-19,04,Chandigarh,2018-08,2018-08-01,2057.0,27600.0,468.170189213,4728.0,77264.0,1424.6551942370002,7938.0,112280.0,2352.638398153
2018-19,05,Uttarakhand,2018-08,2018-08-01,8719.0,479625.0,10190.038351883999,6408.0,303268.0,15908.951752623001,19693.0,410133.0,12480.844670084
2018-19,06,Haryana,2018-08,2018-08-01,52495.0,2433392.0,43381.096352156,48580.0,1929364.0,55378.64001054101,80892.0,1476868.0,54373.037309987
2018-19,07,Delhi,2018-08,2018-08-01,46995.0,757089.0,24760.452730885998,111037.0,1532182.0,36738.369524616995,104908.0,1309869.0,42541.580077627004
2018-19,08,Rajasthan,2018-08,2018-08-01,54690.0,1314030.0,28494.487745978004,42630.0,1159619.0,26938.585598344,80547.0,993941.0,33690.272635639005
2018-19,09,Uttar Pradesh,2018-08,2018-08-01,86811.0,2568545.0,51844.202816018,60574.0,1129545.0,45613.143030532,137375.0,1754721.0,61932.6446144
2018-19,10,Bihar,2018-08,2018-08-01,4142.0,186405.0,4982.765719501999,4958.0,45829.0,2053.452188493,42156.0,503371.0,12133.86928265
2018-19,11,Sikkim,2018-08,2018-08-01,94.0,2587.0,53.306599486,152.0,6486.0,1942.054323485,1355.0,25156.0,723.883667529
2018-19,12,Arunachal Pradesh,2018-08,2018-08-01,81.0,1800.0,24.6688294,147.0,1567.0,74.06177199700001,2184.0,20276.0,358.492276164
2018-19,13,Nagaland,2018-08,2018-08-01,44.0,673.0,20.502293678,185.0,2349.0,78.641938723,2074.0,18606.0,366.144724263
2018-19,14,Manipur,2018-08,2018-08-01,42.0,2616.0,43.71652266,73.0,392.0,14.515697915,2041.0,22642.0,494.11046460100005
2018-19,15,Mizoram,2018-08,2018-08-01,11.0,368.0,3.9434476409999997,45.0,199.0,11.870952706999999,1344.0,12673.0,278.95687528
2018-19,16,Tripura,2018-08,2018-08-01,470.0,11810.0,192.241478027,245.0,1732.0,161.89152137,3831.0,37427.0,737.446966475
2018-19,17,Meghalaya,2018-08,2018-08-01,241.0,7849.0,141.072021845,321.0,25371.0,412.30331491799996,2742.0,30949.0,677.349115222
2018-19,18,Assam,2018-08,2018-08-01,8783.0,301195.0,5984.751056984,7167.0,126832.0,5300.3220858879995,22947.0,283676.0,8200.955872759
2018-19,19,West Bengal,2018-08,2018-08-01,33014.0,1108716.0,34161.012757029996,35915.0,616806.0,26995.434812393,55331.0,970128.0,35578.043512896
2018-19,20,Jharkhand,2018-08,2018-08-01,7479.0,383550.0,8713.932797046,5621.0,184640.0,11600.138812363,21291.0,334853.0,11377.994078219
2018-19,21,Odisha,2018-08,2018-08-01,10134.0,564865.0,12917.912928834,4759.0,189975.0,21282.741685177,25270.0,324711.0,14070.146505521
2018-19,22,Chhattisgarh,2018-08,2018-08-01,4800.0,166039.0,5225.795657535,6691.0,157796.0,10650.92391273,20987.0,371649.0,11610.103075497
2018-19,23,Madhya Pradesh,2018-08,2018-08-01,13415.0,274112.0,7069.116026167,16785.0,354313.0,17886.901784446,60615.0,788530.0,24512.725722296
2018-19,24,Gujarat,2018-08,2018-08-01,60563.0,1579416.0,45342.487698034005,110295.0,3613338.0,89600.27431327,111115.0,1371995.0,65005.59004690799
2018-19,25,Daman and Diu,2018-08,2018-08-01,928.0,29113.0,950.2276155229999,1625.0,193176.0,5440.162046228,2179.0,78015.0,5236.755761889
2018-19,26,Dadra and Nagar Haveli,2018-08,2018-08-01,1053.0,51137.0,1809.271413849,1860.0,270332.0,10410.766150402,2741.0,115887.0,9205.670988836999
2018-19,27,Maharashtra,2018-08,2018-08-01,105785.0,4636944.0,112397.829326971,96381.0,3074382.0,107135.245192832,172789.0,2301298.0,102803.272872522
2018-19,29,Karnataka,2018-08,2018-08-01,71587.0,2748567.0,54602.990933668,40833.0,1270260.0,44873.56531678,90358.0,1471131.0,51247.417107023
2018-19,30,Goa,2018-08,2018-08-01,1245.0,66036.0,1076.7946439739999,1405.0,61587.0,4370.551332231,6691.0,104332.0,3641.8497737099997
2018-19,31,Lakshadweep,2018-08,2018-08-01,0.0,0.0,0.0,1.0,3.0,0.0321936,31.0,252.0,3.898111553
2018-19,32,Kerala,2018-08,2018-08-01,25449.0,771061.0,13524.293518955,10893.0,134186.0,5843.189400186,45745.0,615261.0,15782.012661584
2018-19,33,Tamil Nadu,2018-08,2018-08-01,57557.0,2908261.0,62428.451781142,59722.0,1650147.0,65032.908101328,96604.0,1511263.0,62782.084516822
2018-19,34,Puducherry,2018-08,2018-08-01,752.0,29211.0,1111.095218296,1604.0,105525.0,3194.490931926,4323.0,87491.0,2806.6813739110003
2018-19,35,ANDAMAN AND NICOBAR,2018-08,2018-08-01,13.0,285.0,9.024778844,62.0,231.0,27.176806141000004,918.0,8206.0,178.424840859
2018-19,36,Telangana,2018-08,2018-08-01,22355.0,972673.0,21361.162409841,23508.0,474219.0,21530.81347344,51607.0,783774.0,29577.163012601002
2018-19,37,Andhra Pradesh,2018-08,2018-08-01,27138.0,1089732.0,19676.725422507,18129.0,389635.0,26396.241732756,61724.0,735434.0,29048.179448217998
2018-19,01,Jammu and Kashmir,2018-09,2018-09-01,3484.0,130396.0,2387.847554812,2114.0,30149.0,2215.296839092,16962.0,186069.0,5240.539348474
2018-19,02,Himachal Pradesh,2018-09,2018-09-01,5818.0,205533.0,3962.134510286,4524.0,259345.0,10650.310081682,19633.0,282299.0,8329.597830712
2018-19,03,Punjab,2018-09,2018-09-01,48931.0,1257940.0,29472.905887975,44721.0,897349.0,23596.047609573,58855.0,748180.0,24162.529971388
2018-19,04,Chandigarh,2018-09,2018-09-01,1964.0,25148.0,409.130147687,4721.0,75076.0,1361.589218792,7836.0,107479.0,2314.346287793
2018-19,05,Uttarakhand,2018-09,2018-09-01,9163.0,554705.0,10080.756125184,6609.0,337364.0,17877.550106878,20947.0,448317.0,13049.823593092
2018-19,06,Haryana,2018-09,2018-09-01,53485.0,2370829.0,44200.291932551,49215.0,1957937.0,57108.633310984995,81029.0,1451675.0,55220.636660866
2018-19,07,Delhi,2018-09,2018-09-01,48421.0,764179.0,26133.610363094,113149.0,1614694.0,37962.444808447,106193.0,1322074.0,44092.1537079
2018-19,08,Rajasthan,2018-09,2018-09-01,53640.0,1211954.0,27683.321548596003,42233.0,1163349.0,27428.081862541,79987.0,978291.0,34037.574225904
2018-19,09,Uttar Pradesh,2018-09,2018-09-01,91003.0,2673586.0,56002.945980055,63044.0,1193673.0,49195.475028067,144756.0,1849124.0,65804.861547878
2018-19,10,Bihar,2018-09,2018-09-01,4389.0,203634.0,5359.178309995,5194.0,46994.0,1913.8050754130002,47213.0,616003.0,12768.735844554
2018-19,11,Sikkim,2018-09,2018-09-01,104.0,2855.0,50.566573044,159.0,5834.0,1868.7996967279998,1455.0,24190.0,683.441165698
2018-19,12,Arunachal Pradesh,2018-09,2018-09-01,84.0,2016.0,22.482732339,165.0,1453.0,78.353337361,2166.0,20453.0,394.232453819
2018-19,13,Nagaland,2018-09,2018-09-01,53.0,534.0,26.728044921000002,201.0,1876.0,67.962323483,2109.0,19511.0,402.231899108
2018-19,14,Manipur,2018-09,2018-09-01,44.0,2559.0,41.17722592,72.0,483.0,7.774252376000001,2131.0,22445.0,490.23304377299996
2018-19,15,Mizoram,2018-09,2018-09-01,18.0,677.0,8.008925826,65.0,389.0,79.846321804,1348.0,13081.0,316.467847215
2018-19,16,Tripura,2018-09,2018-09-01,470.0,12527.0,194.933588048,262.0,1965.0,165.665070842,3945.0,32329.0,739.5050673779999
2018-19,17,Meghalaya,2018-09,2018-09-01,232.0,8238.0,163.33845193800002,325.0,21791.0,388.997031958,2871.0,31647.0,675.103112144
2018-19,18,Assam,2018-09,2018-09-01,9058.0,309467.0,6347.646195821,7443.0,128601.0,5643.695395243,24808.0,295020.0,8672.448302111
2018-19,19,West Bengal,2018-09,2018-09-01,32950.0,1125767.0,34682.165722953,36623.0,655559.0,26565.764259076997,55260.0,933346.0,36067.487076177
2018-19,20,Jharkhand,2018-09,2018-09-01,7813.0,406476.0,9275.024238472999,5863.0,195165.0,12497.260538051,23122.0,377826.0,11317.75153567
2018-19,21,Odisha,2018-09,2018-09-01,10144.0,547059.0,12264.362313255,4614.0,189992.0,20589.172441629,25686.0,351460.0,13790.216686894
2018-19,22,Chhattisgarh,2018-09,2018-09-01,4769.0,173198.0,5838.01993341,6703.0,159392.0,10752.526920887,21134.0,337836.0,11911.163888841
2018-19,23,Madhya Pradesh,2018-09,2018-09-01,13401.0,285021.0,7261.5554745,17133.0,378409.0,18275.122020113,59724.0,715255.0,23865.102873387
2018-19,24,Gujarat,2018-09,2018-09-01,59459.0,1433308.0,42886.053890955,107256.0,3424181.0,84231.736342586,108799.0,1285695.0,60172.621500534
2018-19,25,Daman and Diu,2018-09,2018-09-01,935.0,28188.0,859.705623009,1593.0,174737.0,4863.439955932,2154.0,73484.0,4650.722913939
2018-19,26,Dadra and Nagar Haveli,2018-09,2018-09-01,1086.0,51293.0,2051.409431464,1878.0,242106.0,9880.089608142,2691.0,106242.0,8243.197865525
2018-19,27,Maharashtra,2018-09,2018-09-01,102775.0,4291883.0,109893.856888401,93997.0,2935930.0,102224.200610586,170828.0,2269364.0,99148.37147249101
2018-19,29,Karnataka,2018-09,2018-09-01,71441.0,2627306.0,52613.573917609996,40021.0,1246590.0,45547.484668862,88359.0,1391957.0,50857.957459394
2018-19,30,Goa,2018-09,2018-09-01,1214.0,58954.0,1013.8728702770001,1344.0,55762.0,3988.161747469,6426.0,91089.0,3356.976614057
2018-19,31,Lakshadweep,2018-09,2018-09-01,0.0,0.0,0.0,3.0,5.0,0.085849601,31.0,293.0,4.579773802
2018-19,32,Kerala,2018-09,2018-09-01,27396.0,924741.0,15242.007310344,12449.0,166069.0,6640.809207811,44749.0,564019.0,15829.732071655999
2018-19,33,Tamil Nadu,2018-09,2018-09-01,58559.0,2922511.0,64209.2180137,59002.0,1657661.0,67187.091975952,97702.0,1644575.0,63682.78999944201
2018-19,34,Puducherry,2018-09,2018-09-01,744.0,28051.0,937.2508466620001,1626.0,103646.0,3246.797254683,4413.0,90411.0,2901.684635973
2018-19,35,ANDAMAN AND NICOBAR,2018-09,2018-09-01,14.0,182.0,5.668551329,69.0,256.0,25.261070106000002,884.0,7977.0,226.025469667
2018-19,36,Telangana,2018-09,2018-09-01,22115.0,907205.0,20952.486163444,22999.0,463613.0,21223.051855098,51225.0,795743.0,28970.530488021002
2018-19,37,Andhra Pradesh,2018-09,2018-09-01,26943.0,1093687.0,19955.528909329,17823.0,384081.0,25825.625389127,61042.0,678325.0,27677.554891641998
2018-19,01,Jammu and Kashmir,2018-10,2018-10-01,3784.0,135435.0,2545.633385386,2273.0,32807.0,2160.8366465060003,17722.0,202717.0,5138.989032114
2018-19,02,Himachal Pradesh,2018-10,2018-10-01,6322.0,234475.0,4187.475655476001,4647.0,275144.0,10830.950960978,21652.0,310533.0,8925.44061659
2018-19,03,Punjab,2018-10,2018-10-01,48570.0,1247306.0,31322.94888165,47791.0,1041415.0,25533.089018654002,63673.0,836223.0,25885.629343469
2018-19,04,Chandigarh,2018-10,2018-10-01,2248.0,30590.0,487.914266654,5028.0,84351.0,1518.523838094,8295.0,120710.0,2531.9127055900003
2018-19,05,Uttarakhand,2018-10,2018-10-01,10038.0,603614.0,9443.202456236,7140.0,346332.0,16768.858591291002,23976.0,508966.0,14340.489524579998
2018-19,06,Haryana,2018-10,2018-10-01,58638.0,2496453.0,48180.898148953005,51742.0,2114693.0,60622.312741669,87625.0,1613716.0,59584.751163455
2018-19,07,Delhi,2018-10,2018-10-01,54593.0,876770.0,31452.11832815,119128.0,1780906.0,42636.466390222995,112750.0,1556836.0,49239.356679229
2018-19,08,Rajasthan,2018-10,2018-10-01,62340.0,1475106.0,32988.386784231,45378.0,1300871.0,30596.064533845,92864.0,1166726.0,37255.063589453996
2018-19,09,Uttar Pradesh,2018-10,2018-10-01,100843.0,3082759.0,64245.745009255006,67575.0,1296660.0,51940.663493463,165414.0,2310304.0,72937.026171727
2018-19,10,Bihar,2018-10,2018-10-01,4784.0,236349.0,5736.960378084,5486.0,49091.0,2205.498961192,52062.0,646884.0,13927.260836198002
2018-19,11,Sikkim,2018-10,2018-10-01,116.0,2927.0,48.753207671,168.0,6389.0,1784.9368221240002,1560.0,25965.0,720.209035455
2018-19,12,Arunachal Pradesh,2018-10,2018-10-01,100.0,2348.0,29.418040486000002,178.0,1516.0,85.107579207,2243.0,20577.0,378.21503773
2018-19,13,Nagaland,2018-10,2018-10-01,68.0,719.0,20.184347271,224.0,3051.0,89.60361637000001,2228.0,20861.0,456.293180325
2018-19,14,Manipur,2018-10,2018-10-01,41.0,4193.0,56.729514806,79.0,462.0,9.440891812,2217.0,26287.0,594.0064272520001
2018-19,15,Mizoram,2018-10,2018-10-01,16.0,877.0,10.825256977,72.0,514.0,109.384110992,1460.0,14414.0,330.185318952
2018-19,16,Tripura,2018-10,2018-10-01,482.0,11779.0,208.220114836,257.0,1682.0,159.746086011,3192.0,25760.0,698.785844548
2018-19,17,Meghalaya,2018-10,2018-10-01,243.0,8661.0,151.921286003,328.0,25392.0,449.223710988,2889.0,32117.0,737.616802193
2018-19,18,Assam,2018-10,2018-10-01,9596.0,325698.0,6829.076321333,7766.0,132582.0,5406.28181106,21980.0,239657.0,7974.877583117999
2018-19,19,West Bengal,2018-10,2018-10-01,32121.0,1049873.0,32398.724618045002,35169.0,602852.0,26322.515865532998,53283.0,771586.0,33992.842316384995
2018-19,20,Jharkhand,2018-10,2018-10-01,7983.0,402676.0,9620.398159047,6262.0,201543.0,12144.362577763999,22904.0,337403.0,11706.338348938001
2018-19,21,Odisha,2018-10,2018-10-01,10549.0,613387.0,12828.030931419,4749.0,181498.0,21255.791352347,26767.0,334840.0,14184.310143292001
2018-19,22,Chhattisgarh,2018-10,2018-10-01,5363.0,194672.0,6041.633597743,7279.0,166211.0,11693.308505976,22731.0,348668.0,12192.00817196
2018-19,23,Madhya Pradesh,2018-10,2018-10-01,15448.0,335071.0,8741.852774594001,18125.0,403943.0,20154.318652767,67805.0,902346.0,26922.088167857997
2018-19,24,Gujarat,2018-10,2018-10-01,100323.0,2801656.0,76954.83372650799,118902.0,4065864.0,92224.55508131,116242.0,1403262.0,66092.036361877
2018-19,25,Daman and Diu,2018-10,2018-10-01,1039.0,31355.0,968.324079046,1644.0,185855.0,4875.540646314,2340.0,77350.0,5153.176010184
2018-19,26,Dadra and Nagar Haveli,2018-10,2018-10-01,1172.0,50436.0,1813.557441824,1959.0,236923.0,9521.634571187,2982.0,111545.0,7957.635775484
2018-19,27,Maharashtra,2018-10,2018-10-01,115700.0,4832867.0,123845.13257173101,99857.0,3163960.0,109627.604889663,187571.0,2512953.0,107456.506100476
2018-19,29,Karnataka,2018-10,2018-10-01,76843.0,2830000.0,54672.804046701,42291.0,1298012.0,45444.402959469,93175.0,1488143.0,54335.914913277
2018-19,30,Goa,2018-10,2018-10-01,1367.0,69867.0,1227.8333462209998,1498.0,61878.0,4336.439242161,7122.0,108891.0,3854.1106203739996
2018-19,31,Lakshadweep,2018-10,2018-10-01,0.0,0.0,0.0,2.0,3.0,0.06057,36.0,749.0,6.762260095999999
2018-19,32,Kerala,2018-10,2018-10-01,28918.0,937982.0,14794.494977201,12905.0,166693.0,6576.691630513,46123.0,603512.0,15208.592751196
2018-19,33,Tamil Nadu,2018-10,2018-10-01,62936.0,3043451.0,65147.485787716,61226.0,1683977.0,64451.657342611,102051.0,1673138.0,63728.674196466
